Entity,Births_Sum,Births_Count,Births_Mean,Births_Min,Births_Max,Births_Var,Births_Std,Births_Mode,Births_Kurt,Deaths_Sum,Deaths_Count,Deaths_Mean,Deaths_Min,Deaths_Max,Deaths_Var,Deaths_Std,Deaths_Mode,Deaths_Kurt
Gabon,9370229,151,62054.496688741725,14189,94308,833269361.1583226,28866.40540764164,No Mode,-1.424418083310895,3450874,151,22853.470198675495,10246,56595,189717976.02410603,13773.81486822391,10272,-0.47499293652783514
Gambia,9483910,151,62807.350993377484,15238,85034,536463674.74931526,23161.68549025125,No Mode,-0.7377966959880382,4042231,151,26769.741721854305,9993,65046,259508821.1795144,16109.277487817832,No Mode,-0.20034215856792503
Georgia,8662895,151,57370.165562913906,25127,110754,794582698.7524056,28188.3433133699,No Mode,-1.1419946303608328,7140794,151,47290.02649006622,40780,59335,15179017.332626874,3896.025838290459,46100,0.8018382882660231
Germany,116790130,151,773444.5695364239,609726,1356661,37962140780.686844,194838.75584874494,No Mode,1.7592165694092534,141224278,151,935260.119205298,716872,1126442,9912832760.59901,99563.20987492824,No Mode,-0.700913511633213
Ghana,116624432,151,772347.2317880795,244091,999424,53743428565.15253,231826.2896333212,No Mode,-0.7050901324247123,49542510,151,328096.09271523176,115322,705648,32044404561.51135,179009.50969574592,No Mode,-0.8798004377514257
Gibraltar,73102,151,484.11920529801324,305,637,3296.3056953642313,57.41346266655784,452,0.9641511773885716,50997,151,337.72847682119203,180,566,21081.4391169978,145.19448721283393,196,-1.5564387623018354
Greece,13973873,151,92542.20529801324,43986,176635,1620570669.6042383,40256.31217094082,53889,-1.0760864999473114,15553254,151,103001.6821192053,62315,146529,447768738.5382782,21160.546744786116,No Mode,-1.1926768126918825
Greenland,117941,151,781.066225165563,351,1623,111701.44891832209,334.21766697516466,594,-0.26267744031992146,82530,151,546.5562913907285,307,776,18824.915143487855,137.203918105453,669,-1.128948805845185
Grenada,265529,151,1758.4701986754967,529,4586,1308517.237439293,1143.9043829968014,1434,-0.1816931109862736,163210,151,1080.8609271523178,612,1538,85380.98719646796,292.20025187612,757,-1.3860572666127229
Guadeloupe,791552,151,5242.066225165563,2165,10952,7264933.128918326,2695.353989537984,2818,-0.9159403931331109,517096,151,3424.476821192053,2335,5044,702961.8511258287,838.4282027256888,2355,-0.9152085751057633
