Entity,Data_Type,Births_Sum,Births_Count,Births_Mean,Births_Min,Births_Max,Births_Var,Births_Std,Births_Mode,Births_Kurt,Deaths_Sum,Deaths_Count,Deaths_Mean,Deaths_Min,Deaths_Max,Deaths_Var,Deaths_Std,Deaths_Mode,Deaths_Kurt
Bulgaria,Projection,3294728,77,42788.67532467532,28933,61463,83565734.14319909,9141.429545929843,No Mode,-1.14247077723927,6092368,77,79121.66233766233,51168,103053,300353585.0423787,17330.71219085871,No Mode,-1.2720617320622574
Burkina Faso,Estimate,32255280,74,435882.1621621622,182668,752608,37288291275.56236,193101.7640405244,No Mode,-1.3210677858266058,11519217,74,155665.0945945946,119023,187564,566152438.1142173,23793.958016988625,No Mode,-1.632746537781408
Burkina Faso,Projection,58636020,77,761506.7532467532,667268,813710,1877690059.3462102,43332.32118576398,810740,-0.8010821926851519,28835597,77,374488.2727272727,186377,607075,18790471308.595695,137078.3400417283,No Mode,-1.3182668333416439
Burundi,Estimate,19301833,74,260835.5810810811,117211,466834,13671345882.000193,116924.53071105393,No Mode,-1.0212549438220901,6445754,74,87104.78378378379,52656,148745,384038756.3361713,19596.906805314233,No Mode,0.9288931211599158
Burundi,Projection,43498058,77,564909.8441558442,466545,599143,1083261406.896449,32912.93677106996,No Mode,2.236733922960652,16591340,77,215471.94805194804,93703,382729,7993662702.365685,89407.28551055382,No Mode,-1.1391850492072266
Cambodia,Estimate,22265962,74,300891.3783783784,110966,391232,5113042285.635687,71505.5402443453,No Mode,-0.6189196986011027,9591464,74,129614.37837837837,86266,569757,9840492052.5672,99199.2542944109,No Mode,14.122635002826552
Cambodia,Projection,23228220,77,301665.1948051948,236756,358220,1350697769.6852348,36751.84035780025,No Mode,-1.3074922973902636,16008575,77,207903.57142857142,113838,274485,2516981487.4060135,50169.52747840081,No Mode,-1.2510466467967059
Cameroon,Estimate,36823670,74,497617.1621621622,190920,957392,59016008190.137726,242932.1061328406,No Mode,-1.0986811624645467,11919004,74,161067.62162162163,117879,222277,1431829862.3206239,37839.52777613146,No Mode,-1.6578557158188707
Cameroon,Projection,95099830,77,1235062.7272727273,971107,1325613,11032247089.93782,105034.50428282042,No Mode,0.055205132740414165,32749078,77,425312.7012987013,204805,757583,28947076697.475407,170138.40453429497,No Mode,-1.1258629614892524
Canada,Estimate,27956079,74,377784.85135135136,329737,463478,1193543911.881712,34547.70487140516,No Mode,0.4208878416446993,14523654,74,196265.5945945946,123120,337728,2928560114.8744917,54116.17239674746,No Mode,-0.4084039668348294
Canada,Projection,30729875,77,399089.28571428574,361079,451815,753753917.3383423,27454.579168844353,No Mode,-1.1409452068393675,37483034,77,486792.6493506493,321789,563208,4982145196.151737,70584.31267747626,No Mode,-0.1726734649999888
Cape Verde,Estimate,845448,74,11424.972972972973,6440,15274,6148408.13624583,2479.598382046139,No Mode,-0.9937072439919183,245723,74,3320.5810810810813,2568,3968,236014.93169196567,485.81368001731454,2642,-1.487391197169073
Cape Verde,Projection,360319,77,4679.467532467533,2927,6415,1475133.7522214598,1214.550843819006,6236,-1.4890685868930762,419159,77,5443.623376623376,2672,7309,2667066.8694463447,1633.1156938338277,No Mode,-1.4460175277376686
Cayman Islands,Estimate,35475,74,479.3918918918919,249,882,40726.4881525361,201.8080477893191,276,-1.1666094111851328,13504,74,182.48648648648648,97,352,6043.486116253237,77.73986182296208,118,-0.8381389322520905
Cayman Islands,Projection,74590,77,968.7012987012987,821,1045,5913.791182501715,76.90117803064993,1002,-0.7181340201565427,77485,77,1006.2987012987013,356,1335,113083.73855092272,336.2792567954835,1241,-1.10824795363878
Central African Republic,Estimate,9932058,74,134217.0,65217,238858,2761588465.835617,52550.817936884836,No Mode,-1.1653260951383828,4442125,74,60028.71621621621,41389,328277,2002897948.4252124,44753.74787015287,No Mode,25.192750418908936
